Generation,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8 ,Trial 9 ,Trial 10
1,21,36,21,2,7,11,38,17,11,22
2,29,28,39,2,3,11,37,26,9,12
3,27,26,33,18,6,23,27,27,33,29
4,38,26,29,16,5,35,37,27,29,29
5,38,26,25,16,7,33,34,36,32,34
6,40,40,33,20,11,32,38,36,33,39
7,40,40,38,20,9,41,37,36,39,37
8,40,40,39,24,13,39,37,38,40,46
9,38,38,39,36,12,37,40,38,40,46
10,40,38,39,36,11,39,40,38,40,44
11,34,38,37,36,20,35,40,36,43,44
12,39,38,39,36,20,35,40,37,43,44
13,39,36,37,36,28,31,40,39,43,42
14,39,36,37,34,28,39,40,39,43,42
15,39,36,39,34,28,37,40,39,43,48
16,39,36,39,34,28,39,40,39,41,45
17,39,36,39,34,28,37,40,39,42,48
18,39,36,39,32,28,39,40,39,42,44
19,39,36,37,34,28,39,40,39,42,48
20,39,36,39,34,31,39,40,37,42,48
21,39,36,39,34,25,39,40,39,38,48
22,39,36,39,34,26,39,40,37,42,46
23,39,36,39,32,39,39,40,38,42,48
24,39,36,39,32,37,39,40,38,42,48
25,39,36,37,30,35,39,40,38,42,48
26,39,36,39,28,35,39,40,39,42,48
27,39,36,35,28,34,39,40,39,42,48
28,39,36,39,30,36,39,40,39,42,46
29,39,36,39,30,34,39,40,41,42,47
30,39,36,39,28,35,39,40,41,42,47
31,39,36,40,26,33,39,40,41,42,47
32,39,36,40,24,32,39,40,41,42,45
33,39,36,39,26,30,39,40,41,42,49
34,39,34,39,26,35,39,40,41,42,49
35,39,34,39,31,31,39,40,41,42,45
36,37,34,37,31,31,39,40,41,42,43
37,39,34,39,31,28,39,40,41,42,43
38,39,34,39,31,29,39,40,41,42,43
39,39,34,39,31,27,39,40,41,42,41
40,35,34,39,31,27,39,40,41,42,42
41,37,34,37,31,38,39,40,41,42,42
42,39,34,39,31,38,38,40,41,42,42
43,39,34,39,31,36,39,40,41,42,42
44,39,34,39,31,34,39,40,41,42,40
45,39,34,37,31,33,39,40,41,42,39
46,39,32,39,31,33,39,40,41,42,39
47,39,32,39,31,31,42,40,41,42,39
48,39,32,39,31,35,42,40,41,42,39
49,37,32,39,31,32,42,40,41,42,39
50,39,32,39,31,41,42,40,41,42,39
51,39,32,39,31,37,42,40,41,42,37
52,39,34,42,31,38,42,40,41,42,39
53,39,34,42,31,38,42,40,41,42,39
54,39,32,40,31,38,42,40,41,42,39
55,37,36,42,31,39,42,40,41,42,39
56,39,36,40,31,43,42,40,41,42,39
57,39,36,38,31,35,42,40,41,42,39
58,39,39,39,31,43,42,40,41,42,47
59,39,39,39,31,39,42,40,41,42,45
60,39,37,39,31,42,42,40,41,42,47
61,39,39,39,31,42,42,40,41,42,47
62,39,35,39,31,38,42,40,41,42,45
63,40,38,39,31,43,42,40,41,42,41
64,40,38,39,31,41,42,40,41,42,35
65,40,38,39,31,43,42,40,41,42,43
66,40,38,39,31,43,42,40,41,42,46
67,40,38,39,31,43,42,40,41,42,44
