Generation,1,2,3,4,5,6,7,8,9,10
1,0,6,13,2,10,-2,0,-6,2,0
2,2,0,16,-8,-8,0,8,-16,-2,-12
3,-2,16,21,10,9,10,-2,0,7,-14
4,4,8,11,2,6,0,1,10,3,-6
5,37,6,13,-4,31,3,0,3,4,19
6,25,13,31,2,23,23,0,6,0,13
7,19,15,23,4,13,26,1,9,2,15
8,16,8,17,4,10,20,0,-2,2,33
9,23,15,31,5,14,12,5,14,5,25
10,36,25,29,8,9,26,3,11,5,19
11,26,25,15,6,18,27,1,16,2,13
12,22,19,18,9,16,23,1,26,0,15
13,14,37,25,10,13,34,1,20,-6,11
14,2,35,9,10,18,40,1,16,-18,9
15,18,33,5,10,12,30,1,17,-16,9
16,16,31,41,11,16,40,1,37,-26,18
17,20,31,31,11,17,28,1,33,-14,13
18,20,31,25,11,13,32,1,29,-14,14
19,22,29,23,11,16,40,1,29,-20,14
20,16,27,23,11,14,38,1,29,-12,14
21,22,21,17,11,21,32,1,29,-10,11
22,22,19,21,11,21,28,1,29,-20,16
23,20,19,23,11,19,34,1,29,-12,17
24,21,21,23,11,20,26,1,27,-12,17
25,21,23,23,11,21,34,1,25,-8,15
26,19,25,21,11,17,30,0,36,6,15
27,21,25,19,11,21,30,0,34,12,17
28,21,25,23,11,21,18,0,38,2,17
29,21,25,23,11,21,26,0,38,14,17
30,19,25,19,12,21,20,0,38,6,13
31,20,25,19,12,21,8,0,38,11,17
32,21,23,15,12,21,8,0,38,9,17
33,21,25,19,12,19,30,0,38,17,21
34,21,25,16,10,18,28,0,38,18,21
35,21,25,18,12,21,22,0,38,14,21
36,20,23,19,12,20,10,0,38,31,21
37,18,25,18,12,18,34,0,38,23,22
38,20,25,16,12,16,32,0,38,15,15
39,20,25,17,12,22,24,0,38,14,19
40,20,25,17,12,22,20,0,38,10,19
41,20,25,13,12,22,16,0,38,16,19
42,24,25,16,12,22,30,0,36,37,19
43,24,25,20,12,22,26,0,36,35,19
44,24,25,19,12,22,32,0,36,35,17
45,24,25,20,12,25,30,0,36,33,17
46,24,25,22,12,25,32,0,36,25,18
47,24,25,17,12,25,32,0,36,23,18
48,24,25,21,12,25,28,0,34,11,18
49,22,25,21,12,25,36,0,34,14,18
50,18,25,26,12,25,36,0,34,14,18
51,38,25,23,12,25,32,0,34,18,18
52,38,25,24,12,25,38,0,34,25,14
53,38,25,26,12,23,36,0,34,37,18
54,38,25,26,12,21,30,0,32,33,18
55,36,25,25,12,24,20,0,32,38,18
56,36,23,24,12,20,6,0,38,37,16
57,39,21,25,12,24,-6,0,38,33,18
58,39,21,25,12,24,-16,0,38,39,18
59,37,17,26,12,24,-20,0,38,39,18
60,35,21,22,12,24,-24,0,38,39,18
61,35,21,25,12,24,-16,0,38,37,18
62,35,19,21,12,24,-18,0,38,39,18
63,33,21,23,12,24,-22,0,38,39,18
64,33,19,23,10,24,-22,0,38,39,18
65,33,19,24,12,24,34,0,38,39,18
66,33,17,24,12,24,40,0,38,39,18
67,33,17,24,12,20,32,0,38,39,18
68,33,19,18,12,21,40,0,38,39,18
69,33,19,21,12,21,40,0,38,39,18
70,33,19,21,12,21,40,0,38,39,18
71,31,19,21,12,21,40,0,38,39,18
72,31,19,22,12,21,40,0,38,39,18
73,31,19,17,12,21,40,0,38,39,18
74,31,21,20,12,21,40,0,38,39,18
75,31,21,22,12,21,40,0,38,39,18
76,31,21,22,12,21,40,0,38,39,18
77,31,23,24,12,21,40,0,38,39,18
78,31,23,20,12,21,40,0,38,39,18
79,31,23,24,12,21,40,0,38,39,18
80,31,23,18,12,21,40,0,38,39,18
81,31,23,24,12,21,40,0,38,39,18
82,31,23,24,13,21,40,0,38,39,18
83,31,23,24,13,21,40,0,38,39,18
84,31,23,22,13,21,40,0,38,39,18
85,31,23,24,13,21,40,0,38,39,18
86,31,23,24,13,21,40,0,38,39,18
87,31,23,24,13,26,40,0,38,39,18
88,31,23,24,13,24,40,0,38,39,18
89,31,23,24,13,24,40,0,38,39,18
90,31,23,24,13,24,40,0,38,39,18
91,31,23,24,13,24,40,0,38,39,18
92,31,23,24,13,24,40,0,38,39,18
93,31,23,24,13,24,40,0,38,39,18
94,29,23,24,13,24,40,0,38,39,18
95,29,23,24,13,24,40,0,38,39,18
96,29,23,24,13,24,40,0,38,39,18
97,29,23,24,13,24,40,0,38,39,18
98,29,23,24,13,24,40,0,38,39,18
99,29,23,24,13,24,40,0,38,39,18
100,29,23,24,13,24,40,0,38,39,18
101,29,23,24,13,24,40,0,38,39,18
102,29,23,24,13,24,40,0,38,39,18
103,29,23,24,13,24,40,0,38,39,18
104,29,23,24,13,24,40,0,38,39,18
105,29,23,24,13,24,40,0,38,39,18
106,29,23,24,13,24,40,0,38,39,18
107,29,23,24,13,24,40,0,38,39,18
108,29,23,24,13,24,40,0,38,39,18
109,29,23,24,13,24,40,0,38,39,18
110,29,23,24,13,24,40,0,36,39,18
111,29,23,24,13,24,40,0,36,39,18
112,29,23,24,13,24,40,0,36,39,18
113,29,23,24,13,24,40,0,36,39,18
114,29,23,24,13,24,40,0,36,39,18
115,29,23,22,13,24,40,0,36,39,18
116,29,23,22,13,24,40,0,36,39,18
117,29,23,22,13,24,40,0,36,39,18
118,29,23,22,13,24,40,0,36,39,18
119,29,23,22,13,24,40,0,36,39,18
120,29,23,22,13,24,40,0,36,39,18
121,29,23,22,13,24,40,0,36,39,18
122,29,23,22,13,24,40,0,36,39,18
123,29,23,22,13,24,40,0,36,39,18
124,29,23,22,13,24,40,0,36,39,18
125,29,23,22,13,24,40,0,36,39,18
126,29,23,22,13,24,40,0,36,39,18
127,29,23,22,13,24,40,0,36,39,18
128,29,23,22,13,24,40,0,36,39,18
129,29,23,22,13,24,40,0,36,39,18
130,29,23,22,13,24,40,0,36,39,18
131,29,23,22,13,24,40,0,36,39,18
132,29,23,22,13,24,40,0,36,39,18
133,29,23,22,13,24,40,0,36,39,18
134,29,23,22,13,24,40,0,36,39,18
135,29,23,22,13,24,40,0,36,39,18
136,29,23,22,13,24,40,0,36,39,18
137,29,23,22,13,24,40,0,36,39,18
138,29,23,22,16,24,40,0,36,39,18
139,29,23,22,16,24,40,0,36,39,18
140,29,23,22,16,24,40,0,36,39,18
141,29,23,22,16,24,40,0,36,39,18
142,29,23,22,16,24,40,0,36,39,18
143,29,23,22,16,24,40,0,36,39,18
144,29,23,22,16,24,40,0,36,39,18
145,29,23,22,16,24,40,0,36,39,18
146,29,23,22,16,24,40,0,36,39,18
147,29,23,22,16,24,40,0,36,39,18
148,29,23,22,16,24,40,0,36,39,18
149,29,23,22,16,24,40,0,36,39,18
150,29,23,22,16,24,40,0,36,39,18
151,29,23,22,16,24,40,0,36,39,18
152,29,23,22,16,24,40,0,36,39,18
153,29,23,22,16,24,40,0,36,39,18
154,29,23,22,16,24,40,0,36,39,18
155,29,23,22,16,24,40,0,36,39,18
156,29,23,22,16,24,40,0,36,39,18
157,29,23,22,16,24,40,0,36,39,18
158,29,23,22,16,24,40,0,36,39,18
159,29,23,22,16,24,40,0,36,39,18
160,29,23,22,16,24,40,0,36,39,18
161,29,23,22,16,24,40,0,36,39,18
162,29,23,23,16,24,40,0,36,39,18
163,29,23,23,16,24,40,0,36,39,18
164,29,23,23,16,24,40,0,36,39,18
165,29,23,23,16,24,40,0,36,39,18
166,29,23,23,16,24,40,0,36,39,18
167,29,23,23,16,24,40,0,36,39,18
168,29,23,23,16,24,40,0,36,39,18
169,29,23,23,16,24,40,0,36,39,18
170,29,23,23,16,24,40,0,36,39,18
171,29,23,23,16,24,40,0,36,39,18
172,29,23,23,16,24,40,0,36,39,18
173,29,23,23,16,24,40,0,36,39,18
174,29,23,23,16,24,40,0,36,39,18
175,29,23,23,16,24,40,0,36,39,18
176,29,23,23,16,24,40,0,36,39,18
177,29,23,23,16,24,40,0,36,39,18
178,29,23,23,16,24,40,0,36,39,18
179,29,23,23,16,24,40,0,36,39,18
180,29,23,23,16,24,40,0,36,39,18
181,29,23,23,16,24,40,0,36,39,18
182,29,23,23,16,24,40,0,36,39,18
183,29,23,23,16,24,40,0,36,39,18
184,29,23,23,16,24,40,0,36,39,18
185,29,23,23,16,24,40,0,36,39,18
186,29,23,23,16,24,40,0,36,39,18
187,29,23,23,16,24,40,0,36,39,18
188,29,23,23,16,24,40,0,36,39,18
189,29,23,23,16,24,40,0,36,39,18
190,29,23,23,16,24,40,0,36,39,18
191,29,23,23,16,24,40,0,36,39,18
192,29,23,23,16,24,40,0,36,39,18
193,29,23,23,16,24,40,0,36,39,18
194,29,23,23,16,24,40,0,36,39,18
195,29,23,23,16,20,40,0,36,39,18
196,29,23,23,16,21,40,0,36,39,18
197,29,23,23,16,21,40,0,36,39,18
198,29,23,23,16,21,40,0,36,39,18
199,29,23,23,16,21,40,0,36,39,18
200,29,23,23,16,21,40,0,36,39,18
