Game,epsilon = 1,epsilon = 0,epsilon = 0.001,epsilon = 0.01,epsilon = 0.1
1,17,17,11,3,7
2,18,12,21,0,16
3,13,3,3,20,6
4,15,8,0,3,12
5,13,9,8,10,18
6,12,9,16,12,3
7,18,14,20,11,3
8,13,11,22,5,7
9,12,16,10,0,2
10,18,16,16,3,15
11,18,6,16,17,7
12,18,5,17,13,18
13,21,3,20,14,22
14,24,12,24,17,15
15,15,2,14,15,20
16,8,11,14,12,12
17,13,16,18,4,23
18,7,21,13,18,4
19,10,7,3,22,10
20,21,8,11,26,11
21,19,5,7,5,4
22,9,3,8,13,10
23,11,15,17,9,9
24,15,6,17,15,22
25,15,11,6,16,14
26,5,15,6,6,13
27,8,18,18,5,8
28,14,8,1,8,14
29,15,26,14,16,8
30,15,3,19,17,12
31,8,9,12,9,5
32,8,24,4,6,19
33,16,10,21,12,4
34,19,18,12,7,15
35,3,16,9,3,12
36,17,10,15,9,16
37,7,11,20,19,17
38,15,18,17,10,4
39,23,12,1,10,3
40,18,10,12,19,9
41,23,18,13,11,12
42,13,18,12,10,23
43,12,9,7,5,14
44,19,24,5,7,15
45,6,18,9,12,21
46,8,6,15,17,18
47,1,16,7,24,20
48,9,20,18,6,11
49,13,12,17,15,21
50,13,15,10,9,8
51,16,16,10,19,10
52,8,8,13,5,18
53,7,21,9,9,1
54,6,18,13,19,24
55,23,8,5,24,13
56,16,21,4,22,9
57,15,15,1,18,18
58,15,9,12,13,11
59,3,17,8,15,10
60,5,21,2,11,4
61,6,11,11,20,4
62,15,5,7,6,21
63,10,13,8,16,21
64,15,12,10,27,8
65,5,13,29,7,4
66,20,26,5,11,16
67,19,18,19,31,7
68,14,12,10,16,7
69,22,21,5,14,8
70,18,6,12,12,14
71,13,18,12,15,16
72,9,7,8,26,15
73,17,7,8,5,8
74,12,12,6,5,20
75,16,7,8,0,11
76,21,7,5,5,7
77,16,2,8,12,6
78,6,4,5,14,23
79,15,10,16,9,17
80,19,12,5,11,14
81,19,10,26,11,20
82,10,21,3,0,2
83,5,11,15,14,13
84,14,8,8,20,23
85,15,12,6,8,3
86,21,4,6,15,16
87,9,19,8,10,11
88,20,7,13,10,12
89,10,17,8,12,3
90,8,14,4,16,18
91,15,6,16,0,12
92,16,10,16,11,13
93,7,16,18,27,7
94,16,14,10,18,8
95,11,17,11,6,9
96,16,11,18,5,14
97,17,13,13,3,6
98,13,15,14,17,7
99,8,4,14,5,24
100,17,7,12,6,16
101,11,13,11,23,15
102,13,7,4,14,15
103,11,22,5,7,17
