Game,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8 ,Trial 9 ,Trial 10
1,7,14,17,8,3,17,5,7,4,0
2,0,21,12,21,21,0,9,20,5,2
3,10,24,15,19,12,5,5,10,3,19
4,17,18,5,3,3,11,7,12,3,9
5,20,5,0,10,7,5,15,18,15,0
6,3,5,4,23,20,19,13,10,4,0
7,7,12,1,3,4,17,7,18,17,18
8,11,1,0,3,10,14,5,20,16,21
9,15,8,4,3,18,24,5,17,11,17
10,4,3,20,3,17,9,5,10,8,16
11,22,4,11,6,27,8,2,11,13,7
12,0,9,2,16,0,21,8,4,27,6
13,8,30,5,20,8,15,15,15,17,20
14,0,5,10,0,6,8,4,20,19,14
15,5,6,3,8,6,3,6,21,13,12
16,20,5,1,28,0,19,0,12,7,6
17,15,6,2,25,10,6,0,6,6,12
18,13,18,0,18,23,8,6,12,15,6
19,19,6,5,14,30,2,3,5,10,14
20,13,3,9,4,20,3,18,11,4,17
21,7,1,14,5,29,5,0,6,11,4
22,2,4,12,17,20,0,3,9,9,10
23,7,4,7,6,3,4,16,6,21,15
24,12,0,4,6,3,0,0,20,12,24
25,12,11,0,6,0,8,19,4,11,4
26,1,12,2,17,5,18,9,18,3,11
27,0,4,2,0,0,0,0,0,9,9
28,15,4,10,5,24,20,2,9,20,13
29,16,9,14,5,12,23,6,0,11,0
30,5,16,0,10,7,3,0,18,20,21
31,10,0,5,5,3,3,25,16,15,10
32,16,3,4,0,0,16,11,19,11,2
33,6,1,10,4,5,6,0,14,18,10
34,3,5,12,6,5,3,1,7,6,5
35,1,6,6,0,8,1,16,2,5,6
36,0,8,0,6,2,6,15,11,2,5
37,0,13,1,14,6,15,18,12,9,7
38,8,20,4,8,2,2,3,21,6,11
39,0,7,0,6,17,14,15,8,18,0
40,6,8,3,14,23,1,18,14,5,11
41,1,5,4,16,14,20,0,11,15,17
42,8,1,2,21,9,12,10,20,10,3
43,7,7,0,27,1,7,11,10,9,10
44,3,21,5,13,16,5,7,5,0,14
45,4,10,6,8,16,8,4,7,17,21
46,0,9,16,0,8,21,16,7,16,10
47,9,6,6,24,12,19,0,13,23,18
48,5,0,11,16,3,8,22,22,5,14
49,7,17,12,18,2,10,0,17,11,23
50,2,7,6,22,1,9,16,16,8,7
51,2,15,15,1,0,18,2,12,14,27
52,0,13,6,4,18,14,0,17,15,7
53,12,16,0,14,15,20,13,17,11,23
54,6,4,18,12,0,21,19,5,6,18
55,10,6,21,18,10,8,4,21,10,8
56,0,18,10,25,10,15,6,6,8,17
57,0,0,10,7,12,4,0,9,10,0
58,19,15,3,6,0,4,2,20,20,2
59,12,14,0,21,2,5,0,10,13,7
60,5,7,4,2,0,6,20,8,8,18
61,13,0,2,3,4,6,23,13,9,0
62,1,21,19,1,1,0,4,4,8,0
63,0,1,6,0,6,14,4,1,9,11
64,5,21,3,17,15,31,7,23,5,10
65,3,15,6,0,7,3,0,13,14,13
66,0,2,21,5,5,2,11,19,16,22
67,0,10,16,8,11,3,0,7,7,4
68,6,8,28,2,8,6,9,7,11,19
69,10,2,12,8,7,8,16,14,9,18
70,23,2,9,0,17,14,0,6,19,22
71,3,1,15,17,21,6,11,0,15,17
72,0,6,14,0,3,3,3,8,19,10
73,18,3,9,14,5,5,18,13,3,0
74,3,16,9,28,3,16,5,6,10,4
75,5,8,23,11,13,1,18,12,7,15
76,0,11,6,5,3,2,0,8,2,16
77,19,4,6,6,0,0,8,5,7,10
78,11,0,14,0,0,19,6,17,12,2
79,21,0,6,18,15,7,4,3,16,8
80,8,2,6,19,0,18,5,7,8,4
81,9,6,16,7,0,20,7,3,4,10
82,11,8,17,18,0,0,33,8,10,18
83,14,2,0,0,10,0,11,13,13,4
84,12,6,9,6,9,22,4,9,23,7
85,11,18,12,4,19,6,0,23,15,11
86,11,0,17,0,5,8,5,6,9,3
87,6,17,13,0,7,3,5,11,10,8
88,8,20,21,2,0,0,13,22,4,6
89,21,0,1,5,6,16,24,0,9,13
90,7,19,4,4,17,4,0,16,7,10
91,7,4,3,0,14,0,2,4,8,5
92,10,1,0,3,30,14,22,14,12,7
93,14,1,17,0,12,2,0,8,12,6
94,19,16,18,13,17,5,2,15,11,11
95,12,5,3,13,10,18,14,16,9,17
96,8,6,15,0,10,11,14,10,15,4
97,4,10,0,0,2,5,10,20,0,4
98,0,3,5,18,14,1,13,15,6,5
99,18,3,25,15,20,6,4,8,7,8
100,24,0,20,1,4,6,0,0,14,6
101,6,14,0,16,8,3,6,6,7,20
102,9,0,14,7,3,10,14,20,21,10
103,4,9,7,17,4,25,2,11,7,12
104,2,12,4,2,27,0,1,15,10,16
105,5,10,6,3,8,21,0,10,20,10
106,0,0,6,4,8,15,3,6,11,12
107,4,3,16,8,6,0,6,9,23,8
108,7,2,12,16,6,3,19,7,4,6
109,8,3,21,24,6,3,0,13,11,6
110,4,14,1,16,3,6,9,9,18,11
111,4,16,10,17,1,16,25,6,1,10
112,10,0,13,7,3,0,11,11,5,4
113,8,6,18,0,10,19,0,7,4,8
114,0,13,15,15,11,9,8,15,20,11
115,0,6,9,0,15,9,7,4,19,16
116,5,6,5,4,20,22,14,9,20,17
117,9,11,11,3,22,7,18,10,7,7
118,1,21,12,7,0,5,10,6,12,5
119,14,10,4,0,14,0,3,7,14,6
120,2,17,0,0,0,22,2,0,9,12
121,0,0,16,11,0,2,6,17,12,10
122,6,6,13,0,9,17,10,10,16,17
123,4,15,3,10,10,6,0,14,5,9
124,6,4,0,10,6,14,18,21,11,20
125,0,4,11,6,7,9,2,6,3,10
126,3,4,18,6,10,3,6,8,3,20
127,23,4,21,0,7,6,12,15,16,10
128,11,3,3,3,11,0,6,17,7,4
129,21,12,4,7,7,0,16,13,18,15
130,10,2,5,19,9,14,23,19,20,10
131,0,4,20,22,8,0,0,15,16,13
132,0,12,0,3,7,7,12,13,11,15
133,12,1,0,1,17,4,23,14,7,12
134,5,2,1,6,24,0,25,13,15,10
135,5,13,0,0,0,0,17,15,6,3
136,1,17,8,2,8,4,10,9,21,6
137,5,6,5,6,27,15,11,5,0,6
138,5,2,0,16,0,12,8,18,5,4
139,9,7,1,17,11,16,5,8,14,9
140,15,16,6,17,10,3,16,8,0,9
141,19,14,11,0,1,1,12,8,17,11
142,2,10,3,5,11,2,8,4,11,12
143,9,0,5,0,3,6,31,6,19,3
144,6,8,10,3,4,9,0,11,4,6
145,3,6,14,9,0,8,17,16,13,9
146,2,6,9,9,7,5,2,17,8,18
147,20,6,0,10,11,3,2,18,13,2
148,24,5,22,0,3,25,6,19,9,15
149,5,13,12,11,1,7,0,5,6,8
150,13,4,6,6,13,0,11,6,22,12
151,12,6,12,24,5,20,0,2,5,9
152,17,7,13,22,18,0,10,5,13,8
153,5,0,2,0,0,18,7,3,15,9
154,1,19,8,1,12,4,4,15,24,14
155,15,8,0,8,3,3,6,3,9,16
156,7,16,12,10,3,5,9,8,5,10
157,8,4,21,7,18,17,0,10,14,15
158,18,0,10,3,4,2,6,7,9,11
159,9,2,6,17,2,6,25,3,2,19
160,12,18,20,14,0,14,1,10,12,8
161,0,7,14,12,18,11,2,3,7,6
