Game,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8 ,Trial 9 ,Trial 10
1,12,4,0,11,15,25,2,8,21,17
2,6,18,25,22,4,14,4,2,2,15
3,2,9,27,19,5,6,9,0,5,7
4,5,12,15,8,1,7,8,10,19,4
5,10,0,10,6,12,2,0,8,16,11
6,21,2,12,12,22,0,22,0,11,4
7,5,13,17,22,16,18,5,8,13,6
8,21,14,2,12,16,23,4,7,10,4
9,0,17,9,12,6,19,1,0,6,14
10,11,6,9,6,19,12,4,12,12,30
11,11,15,19,12,22,17,2,14,15,1
12,8,1,13,4,4,3,4,17,4,2
13,2,5,2,1,4,6,9,22,5,3
14,2,7,10,19,5,0,3,4,18,16
15,17,14,6,13,0,23,2,19,10,15
16,5,2,6,5,20,11,2,6,16,2
17,17,10,5,24,0,9,0,2,18,0
18,25,24,8,8,15,5,0,3,6,19
19,10,7,5,12,10,15,10,3,8,0
20,4,4,0,23,0,12,10,6,0,11
21,9,7,8,26,5,4,1,0,2,6
22,4,8,0,6,22,19,11,3,2,6
23,19,14,2,5,3,15,0,6,27,25
24,18,0,10,11,6,5,12,0,0,0
25,20,3,5,18,2,8,14,22,3,0
26,19,4,4,3,21,21,0,0,6,13
27,1,3,14,27,16,0,4,20,1,19
28,8,7,11,23,13,19,0,18,0,4
29,5,2,0,19,2,16,10,4,7,1
30,13,3,7,19,16,3,7,11,4,7
31,14,1,6,4,0,24,14,17,2,7
32,5,14,17,13,1,14,0,4,2,24
33,9,5,12,5,2,20,0,4,6,4
34,2,4,13,13,5,4,16,8,0,0
35,5,10,16,11,0,11,10,6,12,6
36,3,12,31,3,10,9,10,18,1,0
37,7,8,11,23,6,9,12,6,4,7
38,1,9,9,9,1,8,18,0,9,1
39,6,9,17,20,14,13,7,15,4,3
40,6,15,9,22,0,6,9,5,4,5
41,23,17,6,3,7,9,16,11,22,12
42,8,20,14,11,11,9,10,11,0,23
43,0,5,14,11,21,7,16,22,0,5
44,20,13,14,11,20,0,8,7,6,4
45,0,8,3,2,7,1,11,0,4,17
46,26,7,2,11,0,1,7,5,6,0
47,7,19,22,0,0,4,10,0,9,23
48,11,10,3,0,8,0,20,14,2,8
49,4,7,6,2,22,10,8,18,0,14
50,1,1,0,9,20,18,19,9,22,16
51,1,9,2,0,12,18,0,1,0,17
52,3,1,13,7,0,6,2,9,1,6
53,7,0,0,3,6,14,3,0,2,10
54,5,2,22,5,13,17,7,0,4,16
55,13,8,17,0,9,11,7,19,11,2
56,14,6,19,6,6,9,8,4,13,7
57,5,21,20,6,5,12,2,2,12,3
58,3,8,22,0,2,6,0,10,8,11
59,16,12,10,14,9,17,4,3,4,2
60,6,8,7,15,10,10,3,19,6,3
61,8,0,10,4,16,4,3,8,6,0
62,0,6,22,8,0,10,0,6,7,2
63,1,6,3,6,13,1,9,10,0,10
64,7,0,12,4,1,13,3,5,4,16
65,6,22,0,5,1,7,17,16,13,7
66,7,3,19,1,16,20,5,3,7,4
67,29,16,13,12,9,12,15,11,5,2
68,7,11,11,6,17,5,0,17,7,1
69,1,0,12,3,15,6,4,19,18,0
70,3,5,2,4,10,7,14,11,6,0
71,9,1,5,6,7,18,15,5,3,6
72,10,7,3,5,18,0,6,28,0,8
73,24,10,0,1,9,10,4,19,6,0
74,16,19,7,0,17,6,1,13,17,4
75,19,18,7,8,7,21,11,18,9,3
76,0,18,2,0,4,17,4,13,7,7
77,0,17,17,4,33,12,18,20,16,3
78,19,5,15,5,20,7,16,27,11,2
79,15,13,2,15,5,31,8,4,1,27
80,12,13,27,6,1,0,16,20,5,11
81,0,7,15,22,11,10,15,4,11,17
82,0,0,17,11,19,4,2,17,4,24
83,6,5,11,0,15,0,3,19,15,0
84,1,5,16,5,8,8,7,9,3,16
85,16,0,28,6,3,19,1,5,4,3
86,9,15,0,24,6,19,4,8,31,0
87,0,16,13,9,8,6,20,9,26,15
88,22,0,4,10,6,17,4,4,20,5
89,6,0,5,5,6,8,1,1,4,16
90,24,4,2,0,1,0,10,0,4,6
91,3,4,0,16,3,9,4,3,15,5
92,4,19,12,29,20,5,4,2,11,3
93,3,5,3,14,2,10,13,20,20,2
94,1,13,5,3,2,4,5,7,8,6
95,16,19,2,9,2,19,17,4,0,5
96,8,15,0,12,5,9,6,0,6,0
97,20,18,7,20,6,6,9,15,12,9
98,0,4,5,4,11,3,15,5,6,9
99,9,21,16,5,0,2,19,13,10,4
100,6,9,4,6,7,0,20,6,5,1
101,0,6,0,11,7,4,24,7,3,13
102,5,14,5,18,20,1,20,22,2,5
103,1,13,20,8,0,14,6,8,13,0
104,7,5,9,3,5,2,6,9,10,6
105,10,2,7,11,4,9,4,2,7,6
106,20,0,15,9,0,1,9,9,3,4
107,2,0,21,2,12,7,15,13,3,3
108,12,12,18,0,7,4,4,0,6,4
109,1,11,0,5,0,5,0,7,21,9
110,14,22,22,6,0,16,8,3,16,3
111,0,0,0,9,16,7,0,0,25,19
112,17,1,7,4,4,8,23,4,2,6
113,15,8,4,3,2,17,6,16,15,22
114,23,5,23,6,10,0,11,3,11,22
