Game,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8 ,Trial 9 ,Trial 10
1,21,4,22,21,11,11,20,3,13,18
2,0,5,13,6,20,5,6,1,0,0
3,6,10,28,0,22,10,19,26,8,6
4,6,12,3,16,22,6,25,0,30,13
5,11,4,19,15,16,24,6,27,6,3
6,0,0,3,0,4,9,15,20,0,1
7,5,18,0,15,3,9,10,6,9,6
8,1,8,30,16,0,23,7,15,2,24
9,2,16,3,16,33,6,10,4,6,9
10,6,0,18,4,1,11,27,9,14,17
11,4,0,15,10,5,15,8,8,8,8
12,5,19,20,11,3,9,19,17,8,14
13,12,1,18,6,15,9,2,8,5,5
14,6,17,6,2,10,9,13,13,9,7
15,3,11,5,21,12,16,5,16,7,7
16,5,7,20,12,18,12,1,13,11,0
17,14,1,23,23,10,26,13,3,0,15
18,0,0,11,0,19,0,22,2,6,9
19,13,8,6,1,25,12,26,4,7,0
20,22,0,6,3,0,10,8,3,17,15
21,10,10,6,0,17,18,0,4,4,23
22,4,4,19,5,27,12,2,0,13,9
23,7,4,19,0,18,18,14,15,0,20
24,7,20,11,9,17,13,19,4,0,16
25,15,5,4,19,17,12,12,0,4,10
26,8,5,0,3,16,0,9,11,13,7
27,7,8,21,1,6,4,10,0,2,6
28,8,11,4,0,5,1,3,4,7,2
29,1,26,24,2,0,23,2,0,0,0
30,5,15,10,2,18,20,1,6,16,11
31,7,0,7,0,13,16,12,0,17,8
32,6,11,11,6,8,2,3,5,4,2
33,7,5,19,4,11,20,0,2,10,3
34,5,17,17,10,14,15,16,5,2,3
35,5,12,9,4,6,8,10,14,8,1
36,19,9,14,10,5,19,10,30,10,15
37,7,16,4,5,15,6,4,16,6,2
38,24,14,5,0,8,5,13,10,0,0
39,0,15,4,4,14,11,17,9,7,6
40,19,8,0,0,2,8,22,5,5,14
41,22,5,0,24,4,2,19,13,16,10
42,17,4,1,3,1,9,0,22,4,21
43,16,8,5,6,6,12,15,14,21,7
44,9,7,6,5,2,13,12,6,13,20
45,0,3,13,9,3,22,1,1,4,7
46,5,0,0,0,8,6,13,16,0,5
47,0,0,3,0,3,18,11,8,12,17
48,28,9,8,0,0,6,18,14,21,0
49,3,20,21,4,0,2,13,3,18,18
50,7,3,11,10,13,9,13,3,10,17
51,10,28,6,6,0,3,10,2,0,0
52,3,5,15,2,3,19,3,21,10,14
53,7,0,2,3,0,22,20,11,0,0
54,0,24,6,8,14,7,5,3,0,0
55,14,17,7,6,8,5,4,6,5,0
56,6,0,25,5,4,2,0,7,3,3
57,8,17,0,14,20,8,0,0,5,5
58,20,9,5,0,21,11,8,8,16,1
59,3,22,6,3,6,7,11,2,3,1
60,0,4,13,3,2,3,0,6,6,6
61,2,9,6,10,1,0,7,6,2,5
62,7,0,9,6,20,19,11,3,21,8
63,3,7,15,9,3,12,25,15,14,0
64,13,17,17,2,17,2,6,0,6,16
65,6,4,4,10,21,1,0,10,3,5
66,1,13,0,9,16,6,0,9,3,2
67,7,12,12,11,9,9,19,4,7,18
68,0,4,11,5,3,2,0,4,0,0
69,18,2,10,17,6,6,5,3,4,7
70,0,9,13,10,20,4,10,16,0,3
71,23,0,1,4,10,2,4,13,3,10
72,7,2,9,1,8,4,31,0,0,0
73,5,25,9,16,21,5,13,0,20,4
74,8,14,15,25,21,2,9,0,31,27
75,5,8,12,17,13,3,6,0,8,1
76,8,16,16,25,8,0,0,7,14,9
77,0,5,33,19,11,5,4,4,5,21
78,4,23,0,0,5,0,17,3,12,17
79,7,10,7,5,6,6,21,17,5,17
80,3,0,3,14,14,2,18,6,1,15
81,0,11,14,4,0,0,8,6,0,3
82,22,0,5,22,16,4,1,0,9,9
83,4,23,14,23,4,12,8,24,4,5
84,5,4,7,9,20,16,4,5,6,2
85,15,0,0,22,1,12,11,0,11,0
86,20,2,16,11,4,5,0,0,3,6
87,22,0,11,5,12,21,23,12,2,18
88,11,18,7,4,4,0,6,7,11,15
89,9,3,7,0,4,0,8,15,9,0
90,9,11,5,5,1,15,17,8,1,3
91,0,4,16,6,14,11,12,0,4,13
92,24,3,4,3,1,10,8,5,17,0
93,0,4,1,5,12,20,10,7,18,22
94,0,18,12,0,5,0,14,1,12,12
95,0,11,9,10,13,10,7,12,9,2
96,12,10,0,19,6,22,19,8,8,0
97,16,5,6,0,9,19,0,2,23,6
98,13,8,4,18,18,5,8,0,10,7
99,11,7,6,18,20,6,5,2,6,4
100,7,18,0,18,7,1,3,6,11,5
101,11,4,16,19,4,12,8,2,10,0
102,5,3,0,16,1,10,19,11,3,2
103,20,16,20,6,3,2,3,0,13,3
104,6,10,1,0,12,4,14,20,9,8
105,14,13,0,5,8,31,11,8,5,12
106,13,18,9,23,10,7,5,4,2,0
107,2,3,4,5,17,7,19,11,0,13
108,17,6,6,9,3,8,5,0,0,14
109,2,10,0,0,1,1,19,5,15,13
110,8,18,11,13,4,16,0,11,0,9
111,4,6,2,12,5,3,14,9,0,2
112,18,16,10,1,2,0,1,21,2,6
113,3,14,2,10,3,4,9,0,0,10
114,7,7,3,0,2,18,5,4,3,6
115,0,2,4,18,0,21,0,4,8,10
116,21,16,0,6,11,17,12,1,6,21
117,15,3,0,11,6,5,0,4,15,3
118,5,6,18,4,24,9,3,17,1,10
119,5,7,12,6,6,23,0,1,8,20
120,0,6,5,18,6,14,19,15,1,0
121,4,18,4,17,10,0,4,5,4,14
122,4,21,14,19,11,17,22,16,2,17
123,2,5,1,3,14,21,10,7,5,17
124,0,0,7,7,0,0,11,18,3,8
125,16,0,6,2,9,13,19,7,3,0
126,0,5,2,0,12,1,12,6,6,2
127,9,0,3,15,16,5,7,21,5,3
128,0,8,5,4,7,3,2,13,10,2
129,4,13,2,2,0,0,20,7,7,10
130,7,2,5,3,9,0,6,0,16,15
131,10,16,1,4,8,6,5,5,20,3
132,15,33,21,17,15,18,6,3,7,7
133,5,0,21,21,20,2,7,4,0,15
134,18,9,11,16,12,18,6,8,0,24
135,7,5,7,11,13,7,6,0,5,22
136,11,18,19,1,5,22,0,9,11,4
137,0,16,20,2,6,4,15,0,16,3
138,0,11,18,16,18,4,12,5,27,14
139,12,0,16,5,24,2,1,2,0,9
140,9,18,7,7,7,16,14,17,8,8
141,0,6,1,20,0,6,4,9,0,0
142,4,8,24,0,15,3,14,0,7,14
143,6,9,0,4,19,14,6,3,4,9
144,22,15,18,19,4,3,21,4,15,21
145,1,2,18,9,14,3,16,2,23,13
146,4,20,9,31,16,6,0,2,20,23
147,4,20,2,5,15,7,3,12,21,14
148,4,13,6,2,0,13,0,15,7,5
149,14,16,15,23,0,18,4,0,5,4
150,3,1,15,9,15,13,6,0,11,3
151,8,17,19,0,7,14,3,9,3,0
152,5,19,6,0,2,6,16,0,14,17
153,2,4,7,9,12,0,22,0,0,2
154,1,6,6,13,0,0,8,0,8,3
155,9,4,1,20,6,10,2,1,0,12
156,4,3,0,19,5,20,10,15,6,0
157,20,4,10,15,24,3,9,9,0,4
158,12,1,4,20,18,13,35,0,0,9
159,8,12,10,7,19,4,17,14,5,1
160,0,6,0,6,23,2,9,12,22,19
161,4,0,0,12,35,13,0,12,16,0
162,8,2,15,4,23,12,1,3,21,4
163,5,7,12,17,26,8,23,2,5,6
164,13,8,7,3,0,20,10,13,9,2
165,6,8,8,14,0,3,1,3,22,15
166,0,22,3,0,18,6,0,9,27,6
167,3,21,0,11,15,0,4,16,4,12
168,15,18,16,4,11,8,5,0,18,3
169,18,6,12,18,1,5,4,6,10,17
170,3,11,15,0,1,0,2,8,7,23
171,0,11,11,10,12,15,11,11,6,0
172,8,0,16,2,0,0,2,2,3,10
173,15,8,5,0,6,1,2,6,21,25
174,4,8,0,10,0,0,18,6,4,9
175,7,15,9,0,0,4,18,0,17,10
176,0,5,23,6,15,4,21,0,14,9
177,17,4,0,3,6,7,15,17,19,9
178,10,5,5,0,15,3,10,7,9,7
179,16,3,2,16,6,6,16,0,5,10
180,8,4,0,3,0,3,0,0,2,15
181,28,5,11,3,17,4,2,4,0,6
182,8,13,13,10,11,9,18,0,7,7
183,9,4,0,14,0,0,23,10,0,8
184,0,9,14,18,6,4,17,2,13,2
185,5,10,2,6,18,15,19,5,3,0
186,12,0,1,0,9,6,12,0,6,18
187,11,0,0,8,14,7,18,22,2,4
188,10,13,14,13,14,11,12,22,4,8
189,0,1,0,18,4,19,16,8,5,6
190,5,12,11,6,5,5,17,6,7,0
191,19,18,18,0,3,0,12,4,5,0
192,6,4,10,6,0,11,0,15,9,15
193,17,0,20,15,14,3,9,6,13,26
194,0,6,16,9,9,0,3,5,26,17
195,8,12,14,0,18,0,19,25,14,5
196,5,0,0,9,14,18,15,17,14,19
197,8,0,17,2,2,16,16,8,7,19
198,13,15,7,24,0,0,18,1,19,13
199,24,3,5,23,18,6,4,19,7,6
200,19,7,0,21,9,5,2,25,19,2
201,20,19,17,10,7,9,0,15,8,3
202,14,23,6,6,5,4,5,18,12,7
203,10,26,5,9,7,8,20,10,11,4
204,16,0,0,3,15,18,13,4,11,3
205,0,0,3,6,17,0,0,0,19,19
206,4,12,4,8,1,5,20,3,11,4
207,2,14,3,6,1,9,15,6,4,10
208,0,15,6,7,9,10,5,0,9,3
209,8,2,17,15,0,6,4,13,2,16
210,4,16,7,0,0,0,4,0,0,20
211,15,23,2,6,17,2,2,21,13,15
212,4,19,0,8,28,8,7,7,7,6
213,5,0,3,4,20,21,10,17,6,20
214,6,4,13,2,8,19,4,13,1,4
215,7,4,17,8,0,18,0,12,31,9
