Game,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8 ,Trial 9 ,Trial 10
1,11,22,10,9,8,9,7,6,16,6
2,9,10,8,5,7,1,9,12,14,20
3,11,22,6,5,10,8,6,16,8,22
4,12,8,8,17,0,8,9,16,18,13
5,10,4,5,8,12,9,16,11,6,13
6,9,18,7,6,17,15,10,19,8,12
7,11,17,9,4,13,11,13,15,6,10
8,20,16,11,13,7,18,10,8,17,14
9,12,8,2,14,4,7,19,9,6,5
10,8,15,3,13,11,16,18,9,6,6
11,12,9,10,12,12,3,10,19,8,13
12,9,17,15,18,17,7,15,15,9,11
13,10,9,18,17,6,8,12,10,10,7
14,12,6,14,16,9,16,12,23,14,15
15,20,11,14,22,8,14,0,6,8,17
16,18,7,7,10,12,11,11,10,11,0
17,8,17,11,18,10,8,14,24,5,11
18,16,3,13,12,9,11,7,15,14,3
19,2,22,6,4,12,9,16,17,16,3
20,10,10,9,13,15,10,3,7,18,7
21,8,12,17,31,20,14,15,5,5,0
22,11,9,13,16,20,8,12,16,14,17
23,12,12,5,0,9,11,2,14,15,15
24,15,15,6,3,6,2,10,8,11,9
25,4,20,16,17,16,7,18,11,12,7
26,14,25,9,19,19,9,19,10,16,14
27,20,14,17,2,7,18,8,14,9,13
28,5,14,9,12,14,11,5,13,12,5
29,7,22,11,17,19,6,7,15,10,8
30,13,9,20,8,15,12,17,12,18,10
31,6,15,2,15,10,13,22,15,21,13
32,9,18,9,12,14,15,9,5,9,10
33,10,21,12,12,7,20,13,7,11,19
34,11,15,8,11,11,9,15,12,16,13
35,14,17,8,8,11,14,14,18,19,10
36,10,17,14,5,20,9,18,11,17,4
37,15,21,10,5,18,5,16,13,10,13
38,17,6,4,22,9,16,3,6,11,17
39,18,11,13,15,8,12,16,6,15,20
40,13,5,11,13,15,3,28,21,22,0
41,14,9,7,21,17,12,12,15,13,7
42,15,18,6,13,9,8,4,24,21,13
43,3,17,15,3,6,18,6,4,8,20
44,18,4,15,12,17,8,3,23,9,13
45,12,22,9,16,6,15,18,9,14,22
46,15,18,9,8,8,15,4,13,6,15
47,17,17,5,9,17,9,10,14,19,5
