Generation,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8 ,Trial 9 ,Trial 10
1,22,9,38,20,6,16,37,35,34,36
2,36,12,30,14,6,12,35,29,34,35
3,30,29,37,24,11,8,38,34,34,31
4,26,29,39,20,7,21,34,33,34,37
5,26,28,37,20,19,23,34,39,38,37
6,22,28,38,30,28,23,27,39,38,39
7,24,26,34,42,28,23,39,39,38,39
8,31,22,37,42,24,26,39,39,38,39
9,29,20,38,42,34,29,35,37,36,39
10,32,37,37,42,30,36,35,39,38,39
11,30,37,39,42,30,41,35,40,38,40
12,38,35,40,43,30,41,35,42,39,40
13,39,35,39,43,18,37,31,42,37,40
14,42,33,40,43,7,41,33,43,37,40
15,40,29,40,43,25,41,31,43,37,40
16,41,25,40,43,19,41,31,41,37,40
17,38,25,40,43,27,41,31,42,37,40
18,44,25,40,43,33,41,37,42,37,40
19,44,19,40,43,29,41,37,42,37,40
20,44,27,40,43,27,41,37,42,35,40
21,44,13,40,43,25,41,37,43,33,40
22,44,21,40,43,38,41,37,43,34,40
23,44,15,40,43,30,41,37,43,34,40
24,44,20,40,44,29,41,37,43,34,40
25,42,20,40,44,34,39,37,43,34,40
26,44,24,40,44,33,39,37,43,34,40
27,44,21,40,44,34,37,35,43,32,40
28,42,17,40,44,30,38,38,43,32,40
29,42,22,40,44,31,38,38,43,36,40
30,42,22,40,44,35,37,32,43,36,40
31,42,22,40,44,27,38,36,43,39,37
32,42,20,40,44,36,38,39,43,39,40
33,42,21,40,44,36,38,39,43,39,40
34,42,21,40,44,36,39,33,43,37,40
35,42,21,40,42,37,39,36,43,37,40
36,42,21,40,43,37,39,34,43,39,40
37,42,21,40,43,37,39,36,43,39,40
38,42,20,40,43,37,37,36,43,39,40
39,40,23,40,43,37,38,36,43,37,40
40,41,23,40,43,39,38,36,43,39,40
41,41,23,40,43,39,38,36,43,39,38
42,42,19,40,43,39,38,36,43,39,38
43,42,22,40,43,39,38,36,43,39,40
44,42,22,40,43,39,39,35,43,36,40
45,42,22,40,43,39,39,34,43,37,40
46,42,22,38,43,39,37,35,43,39,38
47,42,22,39,43,39,42,35,43,39,39
48,42,22,39,43,39,40,33,43,39,39
49,42,22,39,43,39,40,34,44,39,39
50,42,22,39,43,37,38,30,44,39,40
51,42,22,39,43,39,39,34,44,39,40
52,42,24,39,43,39,39,34,44,39,40
53,42,24,39,43,39,39,36,44,39,40
54,42,22,39,43,39,39,34,44,39,40
55,42,22,39,43,39,39,36,44,39,40
56,42,22,39,43,39,39,34,44,39,40
57,42,25,37,43,39,39,34,44,39,40
58,42,25,39,43,39,39,32,42,39,40
59,42,25,39,43,39,40,36,43,39,40
60,42,25,39,43,39,40,36,43,39,40
61,42,25,39,43,40,40,36,43,39,40
62,42,25,39,43,40,40,36,43,39,40
63,42,25,39,43,40,40,36,43,39,40
64,42,25,39,43,40,40,36,43,39,40
65,42,25,39,43,40,40,36,43,39,40
66,42,25,39,43,40,40,36,43,39,40
67,42,25,39,46,40,40,36,43,39,40
68,42,25,39,46,40,40,36,43,39,40
69,42,23,39,46,40,40,36,43,39,40
70,42,24,39,46,40,40,36,43,39,40
71,42,24,39,46,40,40,36,43,39,40
72,42,24,39,46,40,40,36,43,39,40
73,42,24,39,46,40,40,36,43,39,40
74,42,24,39,46,40,40,39,43,39,40
75,42,24,39,46,40,40,39,43,39,40
76,42,24,39,46,40,38,39,41,39,40
77,42,24,39,46,40,39,39,42,39,40
78,42,24,39,46,40,39,39,42,39,40
79,42,24,39,46,40,39,39,42,39,40
80,42,24,39,46,40,39,39,42,39,40
81,42,24,39,46,40,39,39,42,39,40
82,42,24,39,46,40,39,39,42,39,40
83,42,24,39,46,40,39,39,42,39,40
84,42,24,39,46,40,39,39,42,39,40
85,42,24,39,46,40,39,39,42,39,40
86,42,24,39,46,40,39,39,42,39,40
87,42,24,39,46,40,39,39,42,39,40
88,42,24,39,46,40,39,39,42,39,38
89,42,24,39,46,40,39,39,42,39,40
90,42,24,39,46,40,39,39,42,39,40
91,42,24,39,46,40,39,39,42,39,40
92,42,24,39,46,40,39,39,42,39,40
93,42,24,39,46,40,39,39,42,39,40
94,42,24,39,46,40,39,39,42,39,40
95,42,24,39,46,40,39,39,42,39,40
96,42,24,39,46,40,39,39,42,39,40
97,42,24,39,46,40,39,39,42,39,40
98,42,24,39,46,40,39,39,42,39,40
99,42,24,39,46,40,39,39,42,39,40
100,42,24,39,46,40,39,39,42,39,40
101,42,24,39,46,40,39,39,42,39,40
102,42,24,39,46,40,39,39,42,39,40
103,42,24,39,46,40,39,39,42,39,40
104,42,24,39,46,40,39,39,42,39,40
105,42,24,39,46,40,39,39,42,39,40
106,42,24,39,46,40,39,39,42,39,40
107,42,24,39,46,40,39,39,42,39,40
108,42,24,39,46,38,39,39,42,39,40
109,42,24,39,46,39,39,39,42,39,40
110,42,24,39,46,39,39,39,42,39,40
111,42,24,39,46,39,39,39,42,39,40
112,42,24,39,46,39,39,39,42,39,40
113,42,24,39,46,39,39,39,42,39,40
114,42,24,39,46,39,39,39,42,39,40
115,42,24,39,46,39,39,39,42,39,40
116,42,24,39,46,39,39,39,42,39,40
117,42,24,39,46,39,39,39,42,39,40
118,42,24,39,46,39,39,39,42,39,40
119,42,24,39,46,39,39,39,42,39,40
120,42,24,39,46,39,39,39,42,39,40
121,42,24,39,46,39,39,39,42,39,40
122,42,24,39,46,39,39,39,42,39,40
123,42,24,39,46,39,39,39,42,39,40
124,42,24,39,46,39,39,39,42,39,40
125,42,24,39,46,39,39,39,42,39,40
126,42,24,39,46,39,39,39,42,39,40
127,42,24,39,46,39,39,39,42,39,40
128,42,24,39,46,39,39,39,42,39,40
129,42,24,39,46,39,39,39,42,39,40
130,42,24,39,46,39,39,39,42,39,40
131,42,24,39,46,39,39,39,42,39,40
132,42,24,39,46,39,39,39,42,39,40
133,42,24,39,46,39,39,39,42,39,40
134,42,24,39,46,39,39,39,42,39,40
135,42,24,39,46,39,39,39,42,39,40
136,42,24,39,46,39,39,39,42,39,40
137,42,24,39,46,39,39,39,42,39,40
138,42,24,39,46,39,39,39,42,39,40
139,42,24,39,46,39,39,39,42,39,40
140,42,24,39,46,39,39,39,42,39,40
141,42,24,39,46,39,39,39,42,39,40
142,42,24,39,46,39,39,39,42,39,40
143,42,24,39,46,39,39,39,42,39,40
144,42,24,39,46,39,39,39,42,39,40
145,42,24,39,46,39,39,39,42,39,40
146,42,24,39,46,39,39,39,42,39,40
147,42,24,39,46,39,39,39,42,39,40
148,42,24,39,46,39,39,39,42,39,40
149,42,24,39,46,39,39,39,42,39,40
150,42,24,39,46,39,39,39,42,39,40
151,42,24,39,46,39,39,39,42,39,40
152,42,24,39,46,39,39,39,42,39,40
153,42,24,39,46,39,39,39,42,39,40
154,42,24,39,46,39,39,39,42,39,40
155,42,24,39,46,39,39,39,42,39,40
156,42,24,39,46,39,39,39,42,39,40
157,42,24,39,46,39,39,39,42,39,40
158,42,24,39,46,39,39,39,42,39,40
159,42,24,39,46,39,39,39,42,39,40
160,42,24,39,46,39,39,39,42,39,40
161,42,24,39,46,39,39,39,42,39,40
162,42,24,39,46,39,39,39,42,39,40
163,42,24,39,46,39,39,39,42,39,40
164,42,24,39,46,39,39,39,42,39,40
165,42,24,39,46,39,39,39,42,39,40
166,42,24,39,46,39,39,39,42,39,40
167,42,24,39,46,39,39,39,42,39,40
168,42,24,39,46,39,39,39,42,39,40
169,42,24,39,46,39,39,39,42,39,40
170,42,24,39,46,39,39,39,42,39,40
171,42,24,39,46,39,39,39,42,39,40
172,42,24,39,46,39,39,39,42,39,40
173,42,24,39,46,39,39,39,42,39,40
174,42,24,39,46,39,39,39,42,39,40
175,42,24,39,46,39,39,39,42,39,40
176,42,24,39,46,39,39,39,42,39,40
177,42,24,39,46,39,39,39,42,39,40
178,42,24,39,46,39,39,39,42,39,40
179,42,24,39,46,39,39,39,42,39,40
180,42,24,39,46,39,39,39,42,39,40
181,42,24,39,46,39,39,39,42,39,40
182,42,24,39,46,39,39,39,42,39,40
183,42,24,39,46,39,39,39,42,39,40
184,42,24,39,46,39,39,39,42,39,40
185,42,24,39,46,39,39,39,42,39,40
